id,title,author,intro,tags,genre,series_count,view_count,recommend_count,link
53,"선독점 행운 1,500으로 선협 세계 빙의",아위로,"주말을 맞아 플레이하던 선협 게임.
주사위에서 대박이 터져, 이론상 최고의 재능을 가진 캐릭터를 만들었다.
그리고 빙의했다.","퓨전,무협,게임시스템,빙의,사이다,선협,시스템,천재,이세계,동양판타지","무협, 퓨전",92 회,"959,782","25,569",https://novel.munpia.com/417903
54,선독점 퍼펙트 미션,영완(映完),"교통사고 후, 산업 기밀을 훔치던 에이전트의 기억이 게임을 좋아하는 평범한 고등학생의 머리에 들어왔다.
낮에는 교복을 입은 급식, 밤에는 코드명 고릴라로 불리는 거물 스파이?

'나 어쩌면 이 일에 재능이 있을지도?'",,"현대판타지, 판타지",152 회,"2,029,617","61,462",https://novel.munpia.com/417605
55,선독점 대환장 경렴 선협전,탁목조,"절벽 기연으로
호리병 수사의 유체를 얻게 된 경렴.
그로부터 경렴의 수도계 입문이 시작되었다.
영기를 주입하면 시간을 가속하는 호리병.
호리병 특전을 가진 경렴이 수도계에 파란을 일으킨다.","무협,선협",무협,443 회,"1,105,685","34,443",https://novel.munpia.com/379525
56,선독점 회귀 후 인생 리셋,따상,새로운 인생은 나를 위한 투자를 하면서 살겠다,"현대판타지,가상화폐,로또,사이다,이혼,주식,투자,회귀,후회,힐링",현대판타지,77 회,"1,855,199","37,732",https://novel.munpia.com/424677
57,선독점 선협식 수련에 드래곤 하트를 더하면,오늘오후에,"내 각성 능력이라면 온갖 세계의 지식과 보물을 다 얻을 수 있다.
그리하여 내가 선택한 성장법은, 파워 밸런스가 미쳐 날뛰는 선협식 수련에 사기 먼치킨의 대명사인 드래곤 하트를 더하는 것이었다.","판타지,현대판타지,퓨전,선협,차원이동,헌터,먼치킨,동양판타지,서양판타지,타임루프","현대판타지, 퓨전",57 회,"1,960,803","58,463",https://novel.munpia.com/433601
58,선독점 천재미드필더 삼촌의 미친패스가 지렸다,늬파랑,"어느 날, 조카애가 생겼다
그때부터 내 패스가 지렸다
서른 살, 나의 축구는 지금부터 시작이다","스포츠,사이다,천재,육아,이능력,축구,운동선수,망나니,먼치킨","스포츠, 현대판타지",153 회,"636,708","12,147",https://novel.munpia.com/420412
59,선독점 탑스타를 구했다,B써니,"게릴라 폭우로 조난당한 여자를 구했다.
탑스타에 재벌3세였다.","현대판타지,경영,재벌,연예계,이혼,회사원","현대판타지, 드라마",96 회,"945,203","17,883",https://novel.munpia.com/425010
60,선독점 백수가 너무 강함,십황작물,"AI 사이버 로봇과 다니고, 나의 성공 시대 시작됐다","현대판타지,기갑물,이능력,인공지능,헌터,먼치킨,각성","현대판타지, 판타지",99 회,"1,334,003","27,711",https://novel.munpia.com/426416
61,선독점 언더핸드로 너클볼을 숨김,황금왼팔,"좌완! 음~
언더핸드! 응?
너클볼! 야!","현대판타지,스포츠,운동선수,야구","스포츠, 현대판타지",55 회,"472,663","7,859",https://novel.munpia.com/433331
62,선독점 돌팔이 의사 자크 지라르,담하이데,"돌팔이 의사들이 지배하던 17세기 프랑스에
21세기 의술을 사용하는 의문의 돌팔이가 나타났다.
(회귀X, 빙의X, 환생X)","판타지,의사","판타지, 퓨전",177 회,"791,451","35,499",https://novel.munpia.com/406422
63,"선독점 전생용병, 21세기 천재용병이 되다",왕고릴라,"전생을 각성하고 용병이 되었다. 아랍의 봄, 리비아 내전, 시리아 내전, 소말리아 해적 소탕, 우크라이나 전쟁을 통해 명성을 얻고 무기 시스템 컨설팅으로 부를 축적해 21세기 천재 용병이 되었다.","판타지,현대판타지,퓨전,전쟁_밀리터리,천재,회귀,먼치킨","판타지, 전쟁·밀리터리",90 회,"344,116","6,242",https://novel.munpia.com/424793
64,선독점 뼈 교체로 무한성장,킴호놀,나는 뼈를 갈아치워 강해진다.,"게이트,던전,사이다,시스템,헌터",현대판타지,156 회,"898,416","18,925",https://novel.munpia.com/412516
